1,138306
2,132576
3,233488
4,12594
5,127382
6,237796
7,381420
8,290010
9,167200
10,95586
11,79014
12,74640
13,165852
14,59548
15,66486
16,73226
17,152042
18,87102
19,81578
20,120444
21,35906
22,118898
23,114722
24,111960
25,124290
26,66552
27,22162
28,258544
29,91146
30,134056
31,77534
32,163222
33,113242
34,123074
35,141126
36,196366
37,124554
38,47152
39,48434
40,59482
41,116268
42,53892
43,98282
44,78882
45,52676
46,51130
47,92824
48,66420
49,63724
50,69182
51,89798
52,120444
53,236448
54,439356
55,596856
56,330158
57,331572
58,208696
59,211722
60,317828
61,127250
62,125836
63,287446
64,379940
65,215634
66,110744
67,51262
68,130078
69,382768
70,92758
71,182490
72,121660
73,152042
74,201824
75,154672
76,443466
77,211524
78,254236
79,256998
80,697768
81,229312
82,357778
83,124488
84,91344
85,203172
86,114656
87,95586
88,78816
89,242236
90,230792
91,153390
92,157632
93,196300
94,91278
95,135602
96,228162
97,165786
98,113440
99,58134
100,141126
101,158914
102,53892
103,34690
104,67768
105,60830
106,106502
107,59680
108,30514
109,89996
110,117550
111,120180
112,89864
113,59482
114,61028
115,66354
116,217114
117,78882
118,120378
119,194886
120,150562
121,178314
122,62178
123,362086
124,577390
125,694808
126,470954
127,298824
128,230792
129,377310
130,563646
131,538788
132,363368
133,47020
134,259826
135,170028
136,35906
137,160262
138,69116
139,53958
140,114788
141,145038
142,164372
143,52544
144,117484
145,120378
146,147866
147,277680
148,127250
149,103872
150,99762
151,134320
152,124554
153,331770
154,185318
155,203238
156,106436
157,125902
158,142408
159,200344
160,157566
161,135404
162,24858
163,110546
164,189296
165,165852
166,395230
167,230858
168,266632
169,98216
170,74706
171,89930
172,127118
173,41430
174,63658
175,0
176,1414
177,103674
178,100912
179,53958
180,185648
181,186600
182,125770
183,293102
184,185120
185,33210
186,198930
187,89798
188,1153432
189,1005368
190,1936558
191,453100
192,555228
193,557368
194,1254410
195,1002804
196,797134
197,365998
198,1726712
199,1055150
200,381288
201,379940
202,426828
203,813508
204,1200452
205,486112
206,746070
207,1363212
208,508472
209,581896
210,550826
211,719930
212,287842
213,383098
214,645290
215,509820
216,438140
217,319440
218,577588
219,225466
220,78948
221,58068
222,223788
223,165918
224,164504
225,87432
226,38800
227,110546
228,107718
229,56786
230,107916
231,258610
232,120444
233,182556
234,196498
235,218396
236,219876
237,104956
238,188410
239,147932
240,252822
241,355082
242,152042
243,302736
244,518106
245,147932
246,211392
247,288860
248,167200
249,112026
250,142342
251,233620
252,80362
253,59680
254,45870
255,54024
256,70596
257,44588
258,88582
259,69248
260,87102
261,136884
262,41430
263,0
