1,344950
2,1763552
3,2066206
4,1440204
5,900082
6,1113470
7,916654
8,953132
9,1751802
10,1069614
11,1167890
12,1132782
13,818378
14,1061196
15,731326
16,954502
17,474478
18,1048536
19,1219834
20,1138394
21,1692876
22,836584
23,1802376
24,1052778
25,1344734
26,887158
27,185262
28,178280
29,547632
30,2762562
31,1665004
32,3742388
33,3371694
34,2951420
35,2383384
36,2286114
37,3064848
38,2514424
39,1844466
40,3424698
41,2909726
42,2920618
43,1899070
44,1959232
45,2498578
46,3887918
47,1968954
48,2017778
49,1188688
50,1024784
51,2824258
52,647014
53,575494
54,1178734
55,3175504
56,3679548
57,3314020
58,2893252
59,2400038
60,1195950
61,1836048
62,1586182
63,1924470
64,1748996
65,897012
66,1685680
67,1927772
68,1299838
69,1960948
70,1170696
71,856292
72,430952
73,379338
74,281062
75,566432
76,332742
77,225982
78,0
79,45226
80,676642
81,3651634
82,3616180
83,4047630
84,5006070
85,5671626
86,5434864
87,3056362
88,2799232
89,2435426
90,2462116
91,2347928
92,2230456
93,2636154
94,2810192
95,2900050
96,2978684
97,3008114
98,3190768
99,2441236
100,1736402
101,527792
102,585348
103,301810
104,86210
105,1168154
106,1619854
107,1542722
108,2079130
109,1252796
110,1302644
111,1402290
112,1551140
113,1692876
114,1878138
115,2115344
116,2389094
117,2599676
118,3259368
119,4057058
120,5439206
121,6755496
122,8942280
123,10962006
124,10128666
125,4220582
126,4506862
127,4855882
128,4717480
129,4580992
130,4779938
131,4888054
132,4913638
133,5028058
134,5418458
135,6180442
136,6289052
137,5477748
138,6142726
139,6859434
140,5520120
141,2066422
142,1479026
143,1725856
144,1798416
145,2561484
146,1378706
147,648152
148,1436
